"PROVIDER_ID","Std_Outcomes_Mortality_score","Outcomes_Mortality_cnt","Std_Outcomes_Safety_score","Outcomes_Safety_cnt","Std_Outcomes_Readmission_score","Outcomes_Readmission_cnt","Std_PatientExp_score","Patient_Experience_cnt","Std_Process_score","Process_cnt","std_weight_Mortality","std_weight_Safety","std_weight_Readmission","std_weight_PatientExperience","std_weight_Process","weight_Outcomes_Mortality","weight_Outcomes_Safety","weight_Outcomes_Readmission","weight_PatientExperience","weight_Process","summary_score","Total_measure_group_cnt","MortSafe_Group_cnt","report_indicator","cnt_grp","star"
"010040",-0.138607049338957,8,-0.507513108245465,8,-0.845110750477192,9,-0.88570310720697,15,-1.386315017152,9,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.689283285417329,5,2,1,"3) # of groups=5",2
"010044",-0.899647454792567,3,NA,0,0.968810197047564,4,NA,0,0.26782510680018,6,0.22,0.22,0.22,0.22,0.12,0.392857142857143,NA,0.392857142857143,NA,0.214285714285714,0.0845621716287874,3,1,1,"1) # of groups=3",3
"010045",0.0326579905497341,4,-1.45192729258071,1,0.965831501068643,5,1.78054934787786,15,0.248279434907321,7,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.321758072510294,4,1,1,"2) # of groups=4",4
"010046",-0.365344529885925,7,0.849057647573567,6,-0.998957408751337,8,-0.361506904817941,15,0.138749234543238,8,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.176235354948771,5,2,1,"3) # of groups=5",3
"010049",-1.04533747491988,5,1.00534418500666,3,0.879818878072485,7,0.0513383638044647,15,-0.377241061162825,10,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.150787142092482,5,2,1,"3) # of groups=5",4
"010051",NA,0,NA,0,NA,0,NA,0,0.83274085536569,3,0.22,0.22,0.22,0.22,0.12,NA,NA,NA,NA,1,0.83274085536569,1,0,0,"",NA
"010052",-0.808663441321484,2,NA,0,1.32477464568306,2,1.50870802615068,10,-1.81686596717607,6,0.22,0.22,0.22,0.22,0.12,0.282051282051282,NA,0.282051282051282,0.282051282051282,0.153846153846154,0.291585018784061,2,0,0,"",NA
"010055",-1.33055014374769,8,1.10154100543254,8,-1.03049918360699,9,-0.177157475958592,15,-1.21055864807049,9,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.46133351330222,5,2,1,"3) # of groups=5",2
"010056",0.557256497796018,8,-0.105582295966367,7,-0.0205263502491219,9,-1.01315906342708,10,-1.05098648651508,7,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.254160844988051,5,2,1,"3) # of groups=5",3
"010058",-1.02337056661083,2,NA,0,1.43323169376603,2,0.111635405733351,5,0.466589571833966,6,0.22,0.22,0.22,0.22,0.12,0.282051282051282,NA,0.282051282051282,0.282051282051282,0.153846153846154,0.218871776737894,2,0,0,"",NA
"010059",0.364169018018264,2,NA,0,0.791533472265495,2,NA,0,-0.129740170261033,6,0.22,0.22,0.22,0.22,0.12,0.392857142857143,NA,0.392857142857143,NA,0.214285714285714,0.426224513269827,1,0,0,"",NA
"010061",-1.25709351102214,5,0.585484065833544,2,0.831961100659951,6,-0.0882486622401481,15,-1.19895656135294,8,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.128012128851487,4,1,1,"2) # of groups=4",3
"010062",-2.02681714643033,1,0.647185137443925,2,-0.608991257209106,2,0.83715136000934,5,-0.39329536698784,6,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.300519263399498,2,0,0,"",NA
"010065",-1.00374596067694,5,0.308517215118333,4,0.891456587213299,9,0.0652873979452488,15,-0.55421365275418,7,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.00897228561851463,5,2,1,"3) # of groups=5",3
"010073",-0.664517074481437,2,-1.1606264512757,1,1.06835783642294,3,-0.298235765136033,5,0.175647024854724,7,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.211027077000884,3,0,0,"",NA
"010078",-1.15646531254803,7,0.0488850193394233,7,-0.941504832959063,10,-1.75487846573206,15,-1.11334122414038,9,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.970472937114786,5,2,1,"3) # of groups=5",1
"010079",-1.66824063335658,5,0.434932951979826,6,-0.817206963879044,7,0.788082103649826,15,-0.808314847801223,10,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.374732940889461,5,2,1,"3) # of groups=5",2
"010083",0.0238847625157176,6,0.609893651140379,7,0.494463616512674,8,-0.0222489608115707,15,0.664786035120375,10,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.323092799473029,5,2,1,"3) # of groups=5",4
"010085",-0.531726921027926,7,0.00566798186223392,7,0.598856973088224,7,-0.29814412566801,15,-0.770054660324046,9,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.141982699422891,5,2,1,"3) # of groups=5",3
"010086",0.48934852136098,4,0.258498195763056,1,2.03315464396096,5,0.133347626113051,5,-1.09855563727995,8,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.509330100709976,4,1,1,"2) # of groups=4",4
"010087",-0.39214527951089,6,-0.989233893805281,6,-0.627590706734741,7,-0.0163577172975535,15,-0.4552723171905,7,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.500204749479522,5,2,1,"3) # of groups=5",2
"010089",-0.0874663967160173,5,0.624150650018767,6,-0.227755884249607,6,-1.18151463225315,15,-0.483346647784745,7,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.249970575638171,5,2,1,"3) # of groups=5",3
