PROVIDER_ID,Std_Outcomes_Mortality_score,Std_Outcomes_Readmission_score,Std_Outcomes_Safety_score,Std_PatientExp_score,Std_Process_score,std_weight_PatientExperience,std_weight_Readmission,std_weight_Mortality,std_weight_safety,std_weight_Process,weight_PatientExperience,weight_Outcomes_Readmission,weight_Outcomes_Mortality,weight_Outcomes_Safety,weight_Process,summary_score,Outcomes_Mortality_cnt,Outcomes_safety_cnt,Outcomes_Readmission_cnt,Patient_Experience_cnt,Process_cnt,Total_measure_group_cnt,MortSafe_Group_cnt,report_indicator,cnt_grp,star
010095,,0.7627765087,,,0.1720688286,0.22,0.22,0.22,0.22,0.12,,0.6470588235,,,0.3529411765,0.5542914452,0,0,1,0,4,1,0,0,,
010097,,-0.214463868,,0.5208404094,-2.867261372,0.22,0.22,0.22,0.22,0.12,0.3928571429,0.3928571429,,,0.2142857143,-0.494050939,0,0,2,8,7,2,0,0,,
010099,-0.920442087,-0.297667202,0.0229416662,-0.093508023,-0.73021817,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.371134823,2,2,6,8,8,3,0,0,,
010100,-0.330014953,0.843484197,0.1309534852,-0.003697858,-0.054172834,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.1344587316,7,7,9,8,10,5,2,1,3) # of groups=5,4
010101,-0.185068335,-1.486481786,-1.448990221,-0.120351138,0.4139681373,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.663319949,2,2,4,8,8,3,0,0,,
010102,,,,,-0.439181944,0.22,0.22,0.22,0.22,0.12,,,,,1,-0.439181944,0,0,0,0,4,1,0,0,,
010103,-0.548171517,-0.020228027,0.0296416244,0.0180357857,-0.433817808,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.166617007,7,7,9,8,8,5,2,1,3) # of groups=5,3
010104,-1.405841753,-0.715585527,0.3798608636,0.1506431629,-0.840172646,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.450823833,7,8,11,8,11,5,2,1,3) # of groups=5,2
010108,0.2951755617,-0.197674118,0.2014678366,0.9571716726,-0.688705455,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.193706355,4,3,5,8,8,5,2,1,3) # of groups=5,4
010110,,,,,-0.314869485,0.22,0.22,0.22,0.22,0.12,,,,,1,-0.314869485,0,0,0,0,4,1,0,0,,
010112,-0.607671345,-0.157510601,-0.147019611,-0.195544224,-5.20018338,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.867726077,2,3,4,8,9,4,1,1,2) # of groups=4,1
010113,-0.956347008,0.449698611,-0.097528947,-0.003697858,-0.322704251,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.172457055,7,8,11,8,9,5,2,1,3) # of groups=5,3
010114,0.4479781316,0.4365584531,-0.565862906,-1.271909842,0.1943303343,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.186392316,3,6,6,8,11,5,2,1,3) # of groups=5,3
010118,-0.337565855,-0.729348316,0.3061465842,-0.957373282,-0.021679226,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.380592498,4,3,5,8,8,5,2,1,3) # of groups=5,2
