"State","HBIPS-2 Measure Description","S HBIPS-2 Overall Rate Per 1000","S HBIPS-2 Overall Num","S HBIPS-2 Overall Den","HBIPS-3 Measure Description","S HBIPS-3 Overall Rate Per 1000","S HBIPS-3 Overall Num","S HBIPS-3 Overall Den","SMD Measure Description","S SMD %","SUB-2/-2a Measure Description","S SUB-2 %","S SUB-2a %","SUB-3/-3a Measure Description","S SUB-3 %","S SUB-3a %","TOB-3/-3a Measure Description","S TOB-3 %","S TOB-3a %","TR-1 Measure Description","S TR-1 %","Start Date","End Date","FAPH Measure Description","S FAPH-30 %","S FAPH-7 %","FAPH Measure Start Date","FAPH Measure End Date","MedCont Measure Description","S MedCont %","MedCont Measure Start Date","MedCont Measure End Date","READM-30-IPF Measure Desc","S READM-30-IPF # IPFs Worse","S READM-30-IPF # IPFs Same","S READM-30-IPF # IPFs Better","S READM-30-IPF # IPFs Too Few","READM-30-IPF Start Date","READM-30-IPF End Date","IMM-2 Measure Description","S IMM-2 %","Flu Season Start Date","Flu Season End Date"
MD,Hours of physical-restraint use,0.29,2803.32,407766,Hours of seclusion use,0.32,3175.15,407766,Screening for metabolic disorders (SMD),17,Alcohol use brief intervention provided or offered,65,75,Alcohol and other drug use disorder treatment provided or offered at discharge,64,51,Tobacco use treatment provided or offered at discharge,78,3,Transition record with specified elements received by discharged patients (TR1),59,01/01/2024,12/31/2024,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,70.5,47,07/01/2023,06/30/2024,Medication Continuation Following Inpatient Psychiatric Discharge,78.9,07/01/2022,06/30/2024,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,3,0,5,07/01/2022,06/30/2024,Influenza immunization (IPFQR-IMM-2),62,10/01/2024,03/31/2025
ME,Hours of physical-restraint use,0.44,1308.76,124939,Hours of seclusion use,1.11,3326.57,124939,Screening for metabolic disorders (SMD),89,Alcohol use brief intervention provided or offered,75,82,Alcohol and other drug use disorder treatment provided or offered at discharge,73,63,Tobacco use treatment provided or offered at discharge,54,18,Transition record with specified elements received by discharged patients (TR1),61,01/01/2024,12/31/2024,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,70.7,45.1,07/01/2023,06/30/2024,Medication Continuation Following Inpatient Psychiatric Discharge,85.1,07/01/2022,06/30/2024,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,5,1,2,07/01/2022,06/30/2024,Influenza immunization (IPFQR-IMM-2),78,10/01/2024,03/31/2025
MI,Hours of physical-restraint use,0.55,10521.98,790095,Hours of seclusion use,0.13,2446.06,790095,Screening for metabolic disorders (SMD),81,Alcohol use brief intervention provided or offered,64,68,Alcohol and other drug use disorder treatment provided or offered at discharge,72,46,Tobacco use treatment provided or offered at discharge,63,24,Transition record with specified elements received by discharged patients (TR1),54,01/01/2024,12/31/2024,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,65.9,41.5,07/01/2023,06/30/2024,Medication Continuation Following Inpatient Psychiatric Discharge,87,07/01/2022,06/30/2024,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),1,45,3,7,07/01/2022,06/30/2024,Influenza immunization (IPFQR-IMM-2),73,10/01/2024,03/31/2025
MN,Hours of physical-restraint use,1.20,5683.02,197751,Hours of seclusion use,2.35,11145.53,197751,Screening for metabolic disorders (SMD),87,Alcohol use brief intervention provided or offered,51,65,Alcohol and other drug use disorder treatment provided or offered at discharge,58,48,Tobacco use treatment provided or offered at discharge,35,5,Transition record with specified elements received by discharged patients (TR1),60,01/01/2024,12/31/2024,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,77.3,40.6,07/01/2023,06/30/2024,Medication Continuation Following Inpatient Psychiatric Discharge,91.6,07/01/2022,06/30/2024,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,14,3,8,07/01/2022,06/30/2024,Influenza immunization (IPFQR-IMM-2),71,10/01/2024,03/31/2025
MO,Hours of physical-restraint use,0.32,5170.58,663007,Hours of seclusion use,0.13,2081.69,663007,Screening for metabolic disorders (SMD),78,Alcohol use brief intervention provided or offered,48,70,Alcohol and other drug use disorder treatment provided or offered at discharge,56,51,Tobacco use treatment provided or offered at discharge,49,13,Transition record with specified elements received by discharged patients (TR1),59,01/01/2024,12/31/2024,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,58,31,07/01/2023,06/30/2024,Medication Continuation Following Inpatient Psychiatric Discharge,79.4,07/01/2022,06/30/2024,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,25,1,6,07/01/2022,06/30/2024,Influenza immunization (IPFQR-IMM-2),65,10/01/2024,03/31/2025
MS,Hours of physical-restraint use,0.25,1715.55,291536,Hours of seclusion use,0.21,1502.4,291536,Screening for metabolic disorders (SMD),90,Alcohol use brief intervention provided or offered,59,87,Alcohol and other drug use disorder treatment provided or offered at discharge,66,60,Tobacco use treatment provided or offered at discharge,58,11,Transition record with specified elements received by discharged patients (TR1),75,01/01/2024,12/31/2024,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,50.1,27.6,07/01/2023,06/30/2024,Medication Continuation Following Inpatient Psychiatric Discharge,77.1,07/01/2022,06/30/2024,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),4,28,3,3,07/01/2022,06/30/2024,Influenza immunization (IPFQR-IMM-2),69,10/01/2024,03/31/2025
MT,Hours of physical-restraint use,0.34,106.35,13005,Hours of seclusion use,1.16,360.83,13005,Screening for metabolic disorders (SMD),90,Alcohol use brief intervention provided or offered,96,100,Alcohol and other drug use disorder treatment provided or offered at discharge,0,0,Tobacco use treatment provided or offered at discharge,98,0,Transition record with specified elements received by discharged patients (TR1),95,01/01/2024,12/31/2024,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,Not Available,Not Available,07/01/2023,06/30/2024,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,07/01/2022,06/30/2024,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Not Available,Not Available,Not Available,Not Available,07/01/2022,06/30/2024,Influenza immunization (IPFQR-IMM-2),71,10/01/2024,03/31/2025
NC,Hours of physical-restraint use,0.14,2582.33,765256,Hours of seclusion use,0.22,3997.15,765256,Screening for metabolic disorders (SMD),87,Alcohol use brief intervention provided or offered,65,81,Alcohol and other drug use disorder treatment provided or offered at discharge,80,72,Tobacco use treatment provided or offered at discharge,59,22,Transition record with specified elements received by discharged patients (TR1),49,01/01/2024,12/31/2024,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,56.9,31.9,07/01/2023,06/30/2024,Medication Continuation Following Inpatient Psychiatric Discharge,76.7,07/01/2022,06/30/2024,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,36,0,6,07/01/2022,06/30/2024,Influenza immunization (IPFQR-IMM-2),78,10/01/2024,03/31/2025
ND,Hours of physical-restraint use,0.64,1384.41,89714,Hours of seclusion use,1.34,2878.33,89714,Screening for metabolic disorders (SMD),72,Alcohol use brief intervention provided or offered,56,56,Alcohol and other drug use disorder treatment provided or offered at discharge,74,38,Tobacco use treatment provided or offered at discharge,48,7,Transition record with specified elements received by discharged patients (TR1),53,01/01/2024,12/31/2024,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,68.4,36.5,07/01/2023,06/30/2024,Medication Continuation Following Inpatient Psychiatric Discharge,82.4,07/01/2022,06/30/2024,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,6,0,0,07/01/2022,06/30/2024,Influenza immunization (IPFQR-IMM-2),81,10/01/2024,03/31/2025
NE,Hours of physical-restraint use,0.06,169.27,115412,Hours of seclusion use,0.01,35.7,115412,Screening for metabolic disorders (SMD),95,Alcohol use brief intervention provided or offered,67,84,Alcohol and other drug use disorder treatment provided or offered at discharge,89,84,Tobacco use treatment provided or offered at discharge,57,26,Transition record with specified elements received by discharged patients (TR1),71,01/01/2024,12/31/2024,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,69.1,41.2,07/01/2023,06/30/2024,Medication Continuation Following Inpatient Psychiatric Discharge,78.7,07/01/2022,06/30/2024,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,6,1,1,07/01/2022,06/30/2024,Influenza immunization (IPFQR-IMM-2),79,10/01/2024,03/31/2025
