"State","Condition","Measure ID","Measure Name","Score","Footnote","Start Date","End Date"
AS,Emergency Department,OP_18c_LOW_MIN,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better (Low),Not Available,5,07/01/2024,06/30/2025
AS,Emergency Department,OP_18c_MEDIUM_MIN,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better (Moderate),Not Available,5,07/01/2024,06/30/2025
AS,Emergency Department,OP_18c_VERY_HIGH_MIN,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better (Very High),Not Available,5,07/01/2024,06/30/2025
AS,Emergency Department,OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,Not Available,5,07/01/2024,06/30/2025
AS,Emergency Department,OP_18d_HIGH_MIN,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better (High),Not Available,5,07/01/2024,06/30/2025
AS,Emergency Department,OP_18d_LOW_MIN,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better (Low),Not Available,5,07/01/2024,06/30/2025
AS,Emergency Department,OP_18d_MEDIUM_MIN,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better (Moderate),Not Available,5,07/01/2024,06/30/2025
AS,Emergency Department,OP_18d_VERY_HIGH_MIN,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better (Very High),Not Available,5,07/01/2024,06/30/2025
AS,Emergency Department,OP_22,Percentage of patients who left the emergency department before being seen Lower percentages are better,Not Available,5,01/01/2024,12/31/2024
AS,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes of arrival Higher percentages are better,Not Available,5,07/01/2024,06/30/2025
AS,Colonoscopy care,OP_29,Percentage of patients receiving appropriate recommendation for follow-up screening colonoscopy Higher percentages are better,Not Available,5,01/01/2024,12/31/2024
AS,Cataract surgery outcome,OP_31,Percentage of patients who had cataract surgery and had improvement in visual function within 90 days following the surgery Higher percentages are better,Not Available,5,01/01/2024,12/31/2024
AS,Electronic Clinical Quality Measure,SAFE_USE_OF_OPIOIDS,Safe Use of Opioids - Concurrent Prescribing,Not Available,5,01/01/2024,12/31/2024
AS,Sepsis Care,SEP_1,Percentage of patients who received appropriate care for severe sepsis and septic shock. Higher percentages are better,Not Available,5,07/01/2024,06/30/2025
AS,Sepsis Care,SEP_SH_3HR,Septic Shock 3-Hour Bundle,Not Available,5,07/01/2024,06/30/2025
AS,Sepsis Care,SEP_SH_6HR,Septic Shock 6-Hour Bundle,Not Available,5,07/01/2024,06/30/2025
AS,Sepsis Care,SEV_SEP_3HR,Severe Sepsis 3-Hour Bundle,Not Available,5,07/01/2024,06/30/2025
