"State","Year","Avg ASC-9 State Rate","Median ASC-9 State Rate","Avg ASC-11 State Rate","Median ASC-11 State Rate","ASC-12 Better","ASC-12 No Different","ASC-12 Worse","ASC-12 Too Small","Avg ASC-13 State Rate","Median ASC-13 State Rate","Avg ASC-14 State Rate","Median ASC-14 State Rate","ASC-17 Better","ASC-17 No Different","ASC-17 Worse","ASC-17 Too Small","ASC-18 Better","ASC-18 No Different","ASC-18 Worse","ASC-18 Too Small","Avg ASC-20 State Rate"
KS,2022_Q4,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),89.00
KY,2022,89.75,91.16,N/A (5),N/A (5),0,17,0,0,99.85,100.00,0.21,0.16,0,9,0,8,0,3,0,5,N/A (5)
KY,2022_Q4,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),89.30
LA,2022,89.05,94.59,N/A (5),N/A (5),0,30,0,2,99.86,100.00,0.37,0.28,0,23,0,21,0,5,0,5,N/A (5)
LA,2022_Q4,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),75.90
MA,2022,90.66,95.65,100.00,100.00,0,20,0,0,98.06,99.21,0.37,0.32,0,10,0,7,0,5,0,1,N/A (5)
MA,2022_Q4,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),96.10
MD,2022,80.94,89.98,100.00,100.00,1,63,0,9,97.51,100.00,0.40,0.25,0,59,0,81,0,32,0,26,N/A (5)
MD,2022_Q4,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),92.90
ME,2022,91.74,91.74,N/A (5),N/A (5),0,2,0,1,98.16,97.28,0.26,0.25,0,5,0,1,0,0,0,1,N/A (5)
ME,2022_Q4,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),95.20
MI,2022,87.03,95.33,N/A (5),N/A (5),0,38,0,4,88.85,99.89,0.27,0.16,0,48,0,17,0,12,0,10,N/A (5)
MI,2022_Q4,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),87.30
MN,2022,95.89,97.33,100.00,100.00,0,22,0,4,97.32,99.73,0.24,0.17,0,26,0,26,0,4,0,12,N/A (5)
MN,2022_Q4,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),92.30
MO,2022,83.55,93.20,N/A (5),N/A (5),0,37,0,6,93.56,100.00,0.30,0.16,0,34,0,24,0,7,0,8,N/A (5)
MO,2022_Q4,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),88.30
MS,2022,95.63,93.59,100.00,100.00,0,21,0,2,97.67,99.91,0.43,0.38,0,21,0,7,0,6,1,8,N/A (5)
MS,2022_Q4,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),84.70
MT,2022,84.95,86.36,98.33,99.00,0,7,0,0,98.29,99.61,0.16,0.04,0,10,0,1,0,1,0,4,N/A (5)
MT,2022_Q4,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),81.50
NC,2022,90.36,93.33,99.18,94.27,0,81,0,7,98.77,99.85,0.21,0.15,0,38,0,6,0,5,1,12,N/A (5)
NC,2022_Q4,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),91.30
