"Facility ID","Measure ID","Value","Footnote","Start Date","End Date"
030038,MSPB-1,1.004937,,01/01/2019,12/31/2019
030043,MSPB-1,0.927160,,01/01/2019,12/31/2019
030055,MSPB-1,0.908515,,01/01/2019,12/31/2019
030061,MSPB-1,0.945246,,01/01/2019,12/31/2019
030062,MSPB-1,0.880610,,01/01/2019,12/31/2019
030064,MSPB-1,1.009342,,01/01/2019,12/31/2019
030065,MSPB-1,1.034337,,01/01/2019,12/31/2019
030068,MSPB-1,0.968989,,01/01/2019,12/31/2019
030069,MSPB-1,0.946672,,01/01/2019,12/31/2019
030071,MSPB-1,0.768004,,01/01/2019,12/31/2019
030073,MSPB-1,0.800403,,01/01/2019,12/31/2019
030074,MSPB-1,N/A,1,01/01/2019,12/31/2019
030077,MSPB-1,N/A,1,01/01/2019,12/31/2019
030078,MSPB-1,0.783466,,01/01/2019,12/31/2019
030083,MSPB-1,0.971714,,01/01/2019,12/31/2019
030084,MSPB-1,0.717672,,01/01/2019,12/31/2019
030085,MSPB-1,0.966979,,01/01/2019,12/31/2019
030087,MSPB-1,1.010847,,01/01/2019,12/31/2019
030088,MSPB-1,1.000706,,01/01/2019,12/31/2019
030089,MSPB-1,0.992318,,01/01/2019,12/31/2019
030092,MSPB-1,1.010825,,01/01/2019,12/31/2019
030093,MSPB-1,0.940010,,01/01/2019,12/31/2019
030094,MSPB-1,1.035812,,01/01/2019,12/31/2019
030101,MSPB-1,0.893963,,01/01/2019,12/31/2019
030103,MSPB-1,0.937141,,01/01/2019,12/31/2019
030105,MSPB-1,0.986555,,01/01/2019,12/31/2019
030107,MSPB-1,0.844395,,01/01/2019,12/31/2019
030108,MSPB-1,0.902885,,01/01/2019,12/31/2019
030110,MSPB-1,1.010511,,01/01/2019,12/31/2019
030111,MSPB-1,0.913086,,01/01/2019,12/31/2019
030112,MSPB-1,0.992619,,01/01/2019,12/31/2019
030113,MSPB-1,0.757031,,01/01/2019,12/31/2019
030114,MSPB-1,0.951750,,01/01/2019,12/31/2019
030115,MSPB-1,0.941631,,01/01/2019,12/31/2019
