"State","Year","Avg ASC-9 State Rate","Median ASC-9 State Rate","Avg ASC-11 State Rate","Median ASC-11 State Rate","ASC-12 Better","ASC-12 No Different","ASC-12 Worse","ASC-12 Too Small","Avg ASC-13 State Rate","Median ASC-13 State Rate","Avg ASC-14 State Rate","Median ASC-14 State Rate","ASC-17 Better","ASC-17 No Different","ASC-17 Worse","ASC-17 Too Small","ASC-18 Better","ASC-18 No Different","ASC-18 Worse","ASC-18 Too Small","ASC-19 Better","ASC-19 No Different","ASC-19 Worse","ASC-19 Too Small","Avg ASC-20 State Rate"
MN,2023_Q3,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),92.00
MO,2022,83.55,93.20,N/A (5),N/A (5),0,36,0,6,93.56,100.00,0.30,0.16,0,34,0,22,0,7,0,8,0,33,0,34,N/A (5)
MO,2023_Q3,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),87.50
MS,2022,95.63,93.59,100.00,100.00,0,19,0,3,97.67,99.91,0.43,0.38,0,20,0,8,0,9,0,6,0,24,0,22,N/A (5)
MS,2023_Q3,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),83.90
MT,2022,84.95,86.36,98.33,99.00,0,6,0,0,98.29,99.61,0.16,0.04,0,9,0,0,0,1,0,3,0,2,0,10,N/A (5)
MT,2023_Q3,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),82.80
NC,2022,90.36,93.33,99.18,94.27,1,81,0,7,98.77,99.85,0.21,0.15,0,41,0,7,0,7,1,13,0,31,0,32,N/A (5)
NC,2023_Q3,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),92.00
ND,2022,95.73,96.61,N/A (5),N/A (5),0,4,0,1,95.92,99.48,0.12,0.00,0,5,0,1,0,0,0,2,0,2,0,9,N/A (5)
ND,2023_Q3,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),86.50
NE,2022,93.98,93.96,100.00,100.00,0,17,0,3,96.49,100.00,0.12,0.11,0,16,0,7,0,6,0,4,0,15,0,17,N/A (5)
NE,2023_Q3,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),90.00
NH,2022,96.94,97.91,N/A (5),N/A (5),0,10,0,0,97.68,98.96,0.49,0.47,0,18,0,4,0,2,0,2,0,5,0,17,N/A (5)
NH,2023_Q3,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),93.40
NJ,2022,66.86,84.09,100.00,100.00,0,86,0,7,96.06,100.00,0.42,0.38,0,71,0,61,1,29,0,14,0,51,0,111,N/A (5)
NJ,2023_Q3,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),96.40
NM,2022,98.61,98.00,N/A (5),N/A (5),0,5,0,1,99.90,100.00,0.36,0.42,0,4,0,5,0,2,0,1,0,7,0,5,N/A (5)
NM,2023_Q3,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),90.30
NV,2022,71.39,92.45,100.00,100.00,0,20,0,1,78.62,100.00,0.37,0.48,0,19,1,11,0,2,0,2,0,11,0,23,N/A (5)
NV,2023_Q3,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),87.50
NY,2022,67.96,80.16,100.00,100.00,2,64,0,4,97.26,100.00,0.52,0.52,0,49,0,29,0,8,0,14,0,42,0,58,N/A (5)
